,Hotelname,Address,OfferPrice,OriginalPrice,OfferPercentage,Facilities,Ratings,City_Name
396,OYO 76612 Royal Inn & Suites,"Wilsongarden, Bangalore",₹1259,₹2457,48% off, Elevator  Reception  Free Wifi  + 8 more,4.1 (420 Ratings)·Very Good,Bangalore
397,OYO 74589 Holiday Home,"Near St. Joseph's Church, New Tharagupet, Bangalore",₹1665,₹3171,47% off, Hair Dryer  Reception  Free Wifi  + 11 more,,Bangalore
398,Capital O 36137 Vihaari 24 Business Hotel,"Near HRBR Layout, Kalyan Nagar, Bengaluru",₹1964,₹3741,47% off, Hair Dryer  Parking Facility  Reception  + 20 more,4.6 (530 Ratings)·Excellent,Bangalore
399,OYO 23032 Hotel Mayur Paradise,"Near Shamaro Vittal Co-Operative Bank, Bangalore",₹1221,₹2325,47% off, Parking Facility  Reception  Free Wifi  + 10 more,3.7 (489 Ratings)·Good,Bangalore
400,OYO 14726 Hotel Vaishnavi park,"Near Monda Market, Shivaji Nagar, Hyderabad",₹1014,₹2471,58% off, Elevator  Free Wifi  Geyser  + 7 more,4.0 (740 Ratings)·Very Good,Hyderabad
401,OYO 80837 Hotel Hyderabad Heights ,"Asifnagar mandal, Hyderabad",₹1437,₹2737,47% off, Reception  Cot  Caretaker  + 31 more,3.5 (36 Ratings)·Good,Hyderabad
402,OYO 40869 White Ridge ,"Near Sanjeevini Hospital, Kothapet road, Hyderabad",₹1216,₹2315,47% off, Reception  Free Wifi  Power backup  + 11 more,4.2 (2020 Ratings)·Very Good,Hyderabad
403,OYO 897 Hotel Surabhi Elite,"Near White House, Kothapet, Hyderabad",₹1783,₹3593,50% off, Parking Facility  Free Wifi  Power backup  + 10 more,4.4 (1359 Ratings)·Very Good,Hyderabad
404,OYO 7343 Al Shareef Palace,"Near Mir Chowk Police Station, Patthargatti, Hyderabad",₹1558,₹3012,48% off, Free Wifi  AC  TV  + 6 more,3.8 (354 Ratings)·Good,Hyderabad
405,OYO 983 Hotel Surya Residency,"Near SR Nagar Police Station, Ameerpet, Hyderabad",₹1686,₹3211,47% off, Parking Facility  Elevator  Free Wifi  + 9 more,4.2 (356 Ratings)·Very Good,Hyderabad
406,OYO 18431 Hotel Celestee Grand,"Nampally, Hyderabad",₹1145,₹2617,56% off, Elevator  Free Wifi  Geyser  + 6 more,4.5 (4 Ratings)·Excellent,Hyderabad
