,Hotelname,Address,OfferPrice,OriginalPrice,OfferPercentage,Facilities,Ratings,City_Name
0,OYO 11511 Hotel Embassy Grand,"Near EQUINOX Business Park, Kurla West, Mumbai",₹1378,₹3220,57% off, Hair Dryer  Free Wifi  Card Payment  + 13 more,,Mumbai
1,Collection O 50279 Golden Tulipz Boutique,"Near Kalpana Cinema Hall, Kurla West, Mumbai",₹1358,₹2950,53% off, Reception  Free Wifi  Refrigerator  + 14 more,3.8 (594 Ratings)·Good,Mumbai
2,Capital O 12063 Hotel Pearls BKC Inn,"Near Bandra Kurla Complex, Bandra East, Mumbai",₹1725,₹3285,47% off, Dress Hanger  Dress Hanger  AC  + 32 more,4.1 (952 Ratings)·Very Good,Mumbai
3,OYO 8544 Hotel Bently,"Near Sakinaka Metro Station, Andheri, Mumbai",₹1260,₹2399,47% off, Free Wifi  Geyser  CCTV Cameras  + 7 more,,Mumbai
4,OYO 9957 Hotel Terminus Square,"Near Tilak nagar Railway Station, Chembur, Mumbai",₹1557,₹4201,62% off, Living Room  Cot  Washing Machine  + 43 more,,Mumbai
5,OYO 22039 Hotel Bkc Grand,"Near Passport seva kendra, Bandra East, Mumbai",₹2192,₹4175,47% off, Free Wifi  Card Payment  24/7 Checkin  + 11 more,3.8 (1437 Ratings)·Good,Mumbai
6,OYO 7407 Hotel Blue Sea,"On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai",₹1216,₹3078,60% off, Free Wifi  Geyser  CCTV Cameras  + 7 more,4.0 (4584 Ratings)·Very Good,Mumbai
7,OYO 321 Hotel Icon,"Near Asalpha Metro Station, Asalpha, Mumbai",₹1014,₹2553,60% off, Reception  Free Wifi  Geyser  + 9 more,3.8 (1613 Ratings)·Good,Mumbai
8,OYO 5171 Hotel Palace Residency,"Near LBS Marg, Kurla West, Mumbai",₹1344,₹2868,53% off, Free Wifi  Geyser  CCTV Cameras  + 6 more,3.8 (557 Ratings)·Good,Mumbai
9,OYO 69614 Hotel Diamond,"Near BKC palace inn, MMRDA Area, Mumbai",₹1938,₹3691,47% off, Reception  Free Wifi  CCTV Cameras  + 5 more,3.7 (567 Ratings)·Good,Mumbai
10,OYO 3769 Blue Pearl Residency,"On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai",₹1351,₹2572,47% off, Free Wifi  Card Payment  Microwave  + 13 more,,Mumbai
11,OYO 65661 Hotel Emerald Inn ,"Near Sakinaka metro station, Asalfa, Mumbai",₹1216,₹2990,59% off, AC  TV ,4.5 (1447 Ratings)·Excellent,Mumbai
12,OYO 76846 Hotel Manas Residency,"Chembur East, Mumbai",₹1359,₹3343,59% off, Reception  Free Wifi  CCTV Cameras  + 6 more,4.0 (1506 Ratings)·Very Good,Mumbai
13,SPOT ON 41424 Hotel Sunny,"Sai Baba Nagar, Chembur, Mumbai",₹1465,₹3144,53% off, AC  Reception  TV  + 8 more,,Mumbai
14,OYO 30693 Hotel Blue Executive,"On main street, Near Saki Vihar complex, Sakinaka,Mumbai",₹1014,₹2545,60% off, AC  TV  Queen Sized Bed ,4.2 (3617 Ratings)·Very Good,Mumbai
15,OYO 78659 Collection O Hotel Jayshree Domestic Airport,"Vile Parle East, Mumbai",₹1483,₹3144,52% off, Private Entrance  Reception  Free Wifi  + 18 more,3.7 (153 Ratings)·Good,Mumbai
16,OYO 29794 A K Residency,"On main street, Near SBI, Marol, Mumbai",₹1014,₹2483,59% off, Private Entrance  Reception  Free Wifi  + 10 more,3.7 (824 Ratings)·Good,Mumbai
17,OYO 79035 Flagship Hotel Kalpana Elite,"Maharashtra, Mumbai",₹1483,₹2824,47% off, AC  TV ,,Mumbai
18,OYO 80506 Hotel Mahi,"Below sakinaka metro station, Andheri East",₹1014,₹2155,52% off, Reception  Security  24/7 Checkin  + 10 more,3.5 (110 Ratings)·Good,Mumbai
19,OYO 5512 Hotel Avenue,"Near Sakinaka Metro Station, Andheri East, Mumbai",₹1014,₹2613,61% off, Parking Facility  Free Wifi  Geyser  + 6 more,,Mumbai
20,Capital O 81325 Pearl Suites,"Bangalore, Bangalore",₹1774,₹3378,47% off, Parking Facility  Reception  Ticket Tour Assistance  + 13 more,,Bangalore
21,OYO Townhouse 149 Siri Residency Hebbal,"India, Bangalore",₹2013,₹3834,47% off, Doctor on Call  Reception  Ticket Tour Assistance  + 20 more,3.8 (188 Ratings)·Good,Bangalore
22,OYO 62768 Gm Royals,"Near Uttarahalli Water Tank, Kodipur, Bangalore",₹1616,₹3078,47% off, Parking Facility  Free Wifi  Power backup  + 13 more,3.6 (530 Ratings)·Good,Bangalore
23,OYO 81255 My Own Nest 2,"India, Bangalore",₹979,₹1902,48% off, Doctor on Call  Reception  Bedside Table / Desk  + 21 more,3.9 (14 Ratings)·Good,Bangalore
24,OYO 8501 Abhimaani Comforts,Kanakpura main road metro pillar number 45 nearby Banashankari metro station JP Nagar,₹1708,₹3252,47% off, Parking Facility  Elevator  Free Wifi  + 9 more,4.5 (937 Ratings)·Excellent,Bangalore
25,Capital O 74658 Nandhana Vistaa,"Near manyata tech park, Kammanahalli, Bangalore",₹1736,₹3967,56% off, Reception  Power backup  TV  + 72 more,4.3 (1215 Ratings)·Very Good,Bangalore
26,OYO 81248 Blooms Residency,"India, Bangalore",₹1216,₹2352,48% off, Doctor on Call  Hair Dryer  Parking Facility  + 18 more,4.8 (43 Ratings)·Excellent,Bangalore
27,Collection O Supralisa,"Halasuru, Bangalore",₹1777,₹3384,47% off, Elevator  Free Wifi  Power backup  + 3 more,,Bangalore
28,OYO 78888 Elite Stays JP Nagar New,"JP Nagar 6th Phase, Bangalore",₹906,₹1725,47% off, Private Entrance  Elevator  Free Wifi  + 8 more,4.2 (1016 Ratings)·Very Good,Bangalore
29,SPOT ON 39787 Radha Krishna Deluxe Lodge,"Near Cottonpet Main Road, Bangalore",₹1234,₹2351,47% off, Elevator  Window  Daily Housekeeping  + 5 more,3.6 (354 Ratings)·Good,Bangalore
30,Capital O 715 Royal Shades,"Near Manipal Hospital, Kodihalli, Bangalore",₹1418,₹3241,56% off, AC  TV ,4.2 (413 Ratings)·Very Good,Bangalore
31,Collection O 30012 Near Malleswaram,"Near Malleswaram, Bangalore",₹2287,₹4357,47% off, Reception  Free Wifi  Power backup  + 12 more,4.5 (232 Ratings)·Excellent,Bangalore
32,OYO Townhouse 006 Kormangala Sony Signal,"Bangalore, Bangalore",₹1695,₹3572,52% off, Reception  Free Wifi  Power backup  + 12 more,3.8 (387 Ratings)·Good,Bangalore
33,OYO 10363 Sri Balaji Guest House & Restaurent,"Near Bata, Wilson Garden, Bangalore",₹1014,₹2096,51% off, Doctor on Call  Reception  Ticket Tour Assistance  + 23 more,4.9 (265 Ratings)·Fabulous,Bangalore
34,Capital O 67657 GN Suites,"Near Sub Registrar Office, Banaswadi, Bangalore",₹1251,₹2506,50% off, Reception  Power backup  24/7 Checkin  + 26 more,4.1 (101 Ratings)·Very Good,Bangalore
35,OYO 15776 V R Residency,"Centrally Located, Near 4th block, HBR Layout, Bangalore",₹1327,₹2528,47% off, Elevator  Free Wifi  Geyser  + 9 more,,Bangalore
36,OYO 75538 Hotel Vijay,"Near Shantiniketan Educational Institute, BTM Layout, Bnagalore",₹1216,₹2315,47% off, AC  TV ,3.5 (119 Ratings)·Good,Bangalore
37,Collection O 80731 Metro Comforts Stay,"Bangalore Urban, Bangalore",₹1644,₹3131,47% off, AC  TV ,,Bangalore
38,Townhouse OAK White Inn,"Koramangala, Bangalore",₹1495,₹2848,47% off, Free Wifi  Power backup  Security  + 10 more,3.7 (18 Ratings)·Good,Bangalore
39,OYO Townhouse 238 Ulssor,"Halasuru, Bangalore",₹1964,₹3741,47% off, Doctor on Call  Reception  Public Washroom  + 16 more,4.3 (853 Ratings)·Very Good,Bangalore
40,SPOT ON 65122 K-inn,"Kachiguda, Hyderabad",₹730,₹1570,53% off, AC  Reception  Free Wifi  + 9 more,,Hyderabad
41,SPOT ON 47118 Pummy Lodge,"Centrally Located, Near Panjagutta Police Station,Panjagutta, Hyderabad",₹708,₹1953,63% off, AC  TV  Power backup  + 5 more,3.6 (208 Ratings)·Good,Hyderabad
42,OYO 38397 Kucheria Vatika,"Near Jawahar Nagar Colony, Ramgopalpet, Hyderabad",₹1351,₹3828,64% off, Parking Facility  Reception  Free Wifi  + 13 more,4.9 (1531 Ratings)·Fabulous,Hyderabad
43,Silverkey Executive Stays 22453 Himayat Nagar Circle,"Near Narayanguda Road, Vittalwadi, Hyderabad",₹1462,₹2784,47% off, Private Entrance  Hair Dryer  Reception  + 17 more,4.3 (4137 Ratings)·Very Good,Hyderabad
44,Oyo Flagship 77043 Malkajgiri,"Malkajgiri, Hyderabad",₹1216,₹2315,47% off, Parking Facility  Reception  Free Wifi  + 12 more,3.8 (1484 Ratings)·Good,Hyderabad
45,OYO Townhouse 113 The Shubham Dilsukhnaga,", Hyderabad",₹1630,₹3105,47% off, Free Wifi  AC  TV ,4.0 (1336 Ratings)·Very Good,Hyderabad
46,OYO 70822 Pnd Complex,"Balapur X road, Hyderabad",₹1216,₹3341,63% off, Elevator  Reception  Free Wifi  + 9 more,4.8 (181 Ratings)·Excellent,Hyderabad
47,Capital O 65104 Che Sigma Hotel,"Near Narayana High School, Chinthalkunta, Hyderabad",₹1666,₹3186,47% off, Parking Facility  Reception  Free Wifi  + 17 more,4.4 (4660 Ratings)·Very Good,Hyderabad
48,SPOT ON 75815 Hotel Kanha Residency,"India, Hyderabad",₹892,₹1787,50% off, TV ,3.6 (321 Ratings)·Good,Hyderabad
49,OYO 22907 Hotel Holiday,"Near Rani Gunj X road, Secundrabad, Hyderabad",₹1249,₹2379,47% off, Reception  Free Wifi  Power backup  + 13 more,4.3 (1110 Ratings)·Very Good,Hyderabad
50,OYO Townhouse 77018 Gangothri,Near RP Road BUS STOP,₹1771,₹3372,47% off, Private Entrance  Parking Facility  Reception  + 15 more,4.1 (2363 Ratings)·Very Good,Hyderabad
51,OYO 77115 Hotel Vaishnavi Palace,"Telangana, Hyderabad",₹1608,₹3062,47% off, Parking Facility  Reception  Free Wifi  + 14 more,4.5 (1386 Ratings)·Excellent,Hyderabad
52,OYO 16428 Hotel Comfort Inn,"Near Mahatma Gandhi Road, Rani Ganj, Hyderabad",₹1282,₹2441,47% off, Free Wifi  Power backup  Card Payment  + 14 more,4.4 (2214 Ratings)·Very Good,Hyderabad
53,Capital O 23543 Hotel Vaishnavi,"Near Csi Wesley Church, Paras Towers, Hyderabad",₹1501,₹2859,47% off, Reception  AC  Daily Housekeeping  + 8 more,4.3 (1725 Ratings)·Very Good,Hyderabad
54,OYO 78865 Raga Stays ,"Beside Reliance Trends , LB Nagar Circle ,LB Nagar , Hyderabad",₹1014,₹2731,62% off, Reception  Ticket Tour Assistance  Security  + 14 more,3.9 (302 Ratings)·Good,Hyderabad
55,OYO 15928 Hotel Midtown,"Behind Mebaz showroom, Begumpet, Hyderabad",₹1371,₹3501,60% off, Hair Dryer  AC  AC  + 9 more,4.2 (314 Ratings)·Very Good,Hyderabad
56,OYO 81097 SilverKey Halcyon Magnus,"Sanath Nagar, Hyderabad",₹1014,₹1999,49% off, AC  TV  Queen Sized Bed  + 2 more,4.5 (505 Ratings)·Excellent,Hyderabad
57,Capital O 71317 White Ridge,"Near Khazana Jewellery, Dilsukhnagar, Hyderabad",₹1536,₹2925,47% off, Elevator  Reception  Free Wifi  + 8 more,4.3 (1400 Ratings)·Very Good,Hyderabad
58,OYO 71439 Rsquare Elite,"Near Raghavendra Udupi Veg, LB Nagar, Hyderabad",₹993,₹2561,61% off, Reception  Free Wifi  Power backup  + 7 more,4.1 (386 Ratings)·Very Good,Hyderabad
59,OYO 61506 Sai Residency,"Near Sr nagar metro station, Jawahar Nagar, Hyderabad",₹1120,₹2778,59% off, Reception  Free Wifi  Geyser  + 9 more,,Hyderabad
60,OYO 5665 Rana Residency,"Tolany Naka, Sher-e-Punjab Colony, Mumbai",₹1218,₹3225,62% off, Parking Facility  Electric Kettle  Free Wifi  + 8 more,3.5 (1284 Ratings)·Good,Mumbai
61,OYO 40902 Anjali Hotel Mumbai,"Near Kanti Nagar, Andheri East, Mumbai",₹1229,₹3328,63% off, Reception  Free Wifi  Geyser  + 8 more,3.9 (1260 Ratings)·Good,Mumbai
62,OYO 5661 Hotel AK Palace,"On main street, Near Asalpha Metro Station, Sainaka, Mumbai",₹1014,₹2340,56% off, Free Wifi  Geyser  CCTV Cameras  + 5 more,3.6 (1418 Ratings)·Good,Mumbai
63,Capital O 42409 Hotel Zara Grand,"Near 1Aerocity , Safed Pul, Mumbai",₹1014,₹1931,47% off, Parking Facility  Free Wifi  Power backup  + 12 more,3.7 (527 Ratings)·Good,Mumbai
64,OYO 66982 Hotel Skyway Inn,"On main street, Near Lokmanya Tilak Nagar, Saki Naka, Mumbai",₹1414,₹6460,78% off, Reception  Free Wifi  AC  + 9 more,,Mumbai
65,OYO 43023 New Hotel Embassy Suites,"Near Chunabhatti Phatak Bus stop, Naik Nagar, Mumbai",₹1927,₹3669,47% off, Private Entrance  Reception  Free Wifi  + 13 more,4.2 (290 Ratings)·Very Good,Mumbai
66,OYO 79617 Hotel Ahlan International,"Saki Vihar Road, Mumbai",₹1676,₹3192,47% off, Reception  Caretaker  CCTV Cameras  + 9 more,4.3 (460 Ratings)·Very Good,Mumbai
67,Capital O 70493 Hotel Crystal Inn,"Near Anjuman Khairul Islam School, Kihim, Mumbai",₹1423,₹2714,47% off, Reception  Free Wifi  Security  + 11 more,3.9 (457 Ratings)·Good,Mumbai
68,OYO 328 Hotel Royal Grand,"Near Sakinaka Metro Station, Andheri East, Mumbai",₹1674,₹3524,52% off, Free Wifi  Geyser  CCTV Cameras  + 6 more,3.8 (426 Ratings)·Good,Mumbai
69,Collection O 81162 Hotel Whitefield,"Zone 3, Mumbai",₹1446,₹2754,47% off, Parking Facility  Reception  Free Wifi  + 10 more,4.3 (102 Ratings)·Very Good,Mumbai
70,"OYO Townhouse 058 JB Nagar, Andheri East","Near Bombay Cambridge School, Andheri East, Mumbai",₹2287,₹4355,47% off, Parking Facility  Reception  Free Wifi  + 8 more,4.6 (506 Ratings)·Excellent,Mumbai
71,OYO 41676 Hotel Global Heritage,"Near Habib Hospital, Old Agra Road, Mumbai",₹1486,₹2829,47% off, Private Entrance  Reception  Free Wifi  + 15 more,,Mumbai
72,OYO 9327 Royce Executive,"Near Kapadia Nagar, CST Road, Mumbai",₹1540,₹3608,57% off, Dress Hanger  Twin Single Bed  AC  + 24 more,3.5 (108 Ratings)·Good,Mumbai
73,OYO 74718 Decent Guest House,"Near BKC Complex, Kurla west, Mumbai",₹1817,₹3461,47% off,,,Mumbai
74,SPOT ON 65553 Star Royal,"Andheri Kurla Road, Sakinaka, Mumbai",₹1014,₹2116,52% off, AC  TV  Queen Sized Bed ,3.5 (588 Ratings)·Good,Mumbai
75,Capital O 80951 Hotel Radisson Suite,"India, Mumbai",₹1475,₹2809,47% off, Doctor on Call  Reception  Caretaker  + 11 more,4.0 (25 Ratings)·Very Good,Mumbai
76,OYO 19841 Shivar Guest House,"Near Sion Railway Station, Dharavi, Mumbai",₹1727,₹4136,58% off, Reception  Free Wifi  Card Payment  + 15 more,3.7 (388 Ratings)·Good,Mumbai
77,OYO 5352 Hotel Airport Metro,"Near Airport Metro Station, Andheri East, Mumbai",₹2025,₹3857,47% off, Hair Dryer  Free Wifi  Garden/Backyard  + 18 more,3.8 (26 Ratings)·Good,Mumbai
78,OYO 6428 K F Residency,"Near Kurla Court, Mumbai",₹2067,₹3937,47% off, Free Wifi  Geyser  CCTV Cameras  + 3 more,,Mumbai
79,Capital O 80005 Hotel Prime Land,"Near Maharashtra Weight Bridge Sion West, Mumbai",₹1579,₹3455,54% off, Reception  Caretaker  Security  + 16 more,4.3 (31 Ratings)·Very Good,Mumbai
80,OYO 8737 King Suites,"Kalyan Nagar, Bangalore",₹1891,₹3602,47% off, Free Wifi  Geyser  CCTV Cameras  + 5 more,4.2 (147 Ratings)·Very Good,Bangalore
81,OYO 15392 Sri Sai Guru Comforts,"Near Kodigihalli Gate, Byatarayanapura, Bangalore",₹1229,₹2591,52% off, Free Wifi  Power backup  Card Payment  + 19 more,4.4 (821 Ratings)·Very Good,Bangalore
82,OYO 10232 Hotel Ashberry,"Centrally Located, Near Allahabad Bank, HRBR Layout, Bangalore",₹1984,₹3779,47% off, AC  TV ,4.1 (562 Ratings)·Very Good,Bangalore
83,Capital O Hotel City Centre Residency,"Behind Motherhood Hospital, Indiranagar, Bangalore",₹1954,₹4467,56% off, Parking Facility  Free Wifi  Power backup  + 13 more,4.5 (6 Ratings)·Excellent,Bangalore
84,OYO 8116 Park Inn,"Near Empire Restaurant Indiranagar , Close to BSNL Indiranagar office .",₹1462,₹3342,56% off, Elevator  Free Wifi  Geyser  + 8 more,4.1 (139 Ratings)·Very Good,Bangalore
85,OYO 9253 Champion Comfort,"Near Sarvodaya College of Nursing, Magadi Rd, Bangalore",₹1477,₹3218,54% off, Parking Facility  Free Wifi  Power backup  + 11 more,4.3 (309 Ratings)·Very Good,Bangalore
86,Capital O 11092 Shiv Enclave,"Near Nagavara, Ashwath Nagar, Bangalore",₹1453,₹3067,52% off, TV  AC  Wheelchair Accessible  + 1 more,3.9 (204 Ratings)·Good,Bangalore
87,OYO 66437 Champion Grand,"Near Polar Bear, Nagarbhavi, Bangalore",₹2065,₹3993,48% off, Reception  Free Wifi  Power backup  + 11 more,4.3 (401 Ratings)·Very Good,Bangalore
88,Capital O 80684 Smile Hotel,"India, Bangalore",₹2393,₹4558,47% off, Reception  Security  Luggage Assistance  + 12 more,,Bangalore
89,OYO Townhouse 387 Grand Vista Koramangala ,"Karnataka 560095, Bangalore",₹1423,₹3069,53% off, Parking Facility  Reception  Free Wifi  + 14 more,4.5 (125 Ratings)·Excellent,Bangalore
90,OYO 45125 Banashankari Comforts,"Near CBI Office, Ganganagar, Bangalore",₹1584,₹3017,47% off, Power backup  24/7 Checkin  AC  + 28 more,3.5 (189 Ratings)·Good,Bangalore
91,OYO 74308 Kings Suites,"Near MSO Colony, Maruthi Seva Nagar, Bangalore",₹1014,₹2837,64% off, AC  TV ,3.7 (672 Ratings)·Good,Bangalore
92,Capital O 46966 Apollo 27,"Near Clove Dental Clinic, Domlur, Bangalore",₹1618,₹3441,52% off, Living Room  Reception  Washing Machine  + 115 more,3.9 (161 Ratings)·Good,Bangalore
93,Collection O 81817 Snt Comforts,"Gandhinagar, Bangalore",₹1315,₹2505,47% off, AC  TV ,,Bangalore
94,OYO 78474 Usuru Comforts,"Bangalore - 560022, Bangalore",₹1967,₹4487,56% off, Reception  Ticket Tour Assistance  Security  + 10 more,4.1 (245 Ratings)·Very Good,Bangalore
95,OYO 26900 Royal Inn,"Near 14th Main Road, Rajaji Nagar, Bangalore",₹1816,₹4102,55% off, Reception  Free Wifi  Power backup  + 13 more,,Bangalore
96,OYO 74173 Shree Ganesh Regency,"Near Bus stop, Basavanagudi, Bangalore",₹1458,₹3332,56% off, TV  Parking Facility  AC  + 8 more,3.7 (575 Ratings)·Good,Bangalore
97,OYO 22836 Hotel Amster Inn,"Near Mysore RD. Metro Station, FCI Layout, Bangalore",₹1668,₹3177,47% off, Private Entrance  Reception  Card Payment  + 10 more,3.7 (422 Ratings)·Good,Bangalore
98,Capital O 66595 Scarlet Suites,"Near Sai Balaji Complex, Bangalore",₹1467,₹2794,47% off, Private Entrance  Reception  Cot  + 23 more,,Bangalore
99,Capital O 70534 Habitat Suites And Rooms ,"Near Yeshwantpur Station, Bangalore",₹1690,₹3218,47% off, Free Wifi  Power backup  AC  + 8 more,4.8 (384 Ratings)·Excellent,Bangalore
100,Capital O 78864 Hotel Ragas,"Near Sagar Ring Road, Reddy Colony, Lb Nagar,Hyderabad",₹1216,₹2972,59% off, Elevator  Reception  AC  + 9 more,3.8 (386 Ratings)·Good,Hyderabad
101,SPOT ON 43890 Kaveri Lodge,"Near Kamineni Hospital, L.B.Nagar, Hyderabad",₹955,₹1819,47% off, Parking Facility  Reception  Daily Housekeeping  + 7 more,4.5 (1334 Ratings)·Excellent,Hyderabad
102,Collection O 81203 Shining Suites,"banjara nagar, ward 101 erragadda, greater Hyderabad municipal corporation central zone , Hyderabad , balanagar Mandal, near erragadda metro, Hyderabad",₹1014,₹2336,56% off, Free Wifi  Geyser  AC  + 1 more,4.0 (34 Ratings)·Very Good,Hyderabad
103,SPOT ON 72246 Gayatri Lodge,"Near Vardaman bank, Pan Bazar, Hyderabad",₹859,₹1637,47% off, Window  Reception  Free Wifi  + 7 more,,Hyderabad
104,OYO 37427 Hotel Pramod Prime,"Near Apollo Pharmacy, Secunderabad, Hyderabad",₹1045,₹3615,71% off, Parking Facility  Reception  Free Wifi  + 15 more,3.6 (242 Ratings)·Good,Hyderabad
105,OYO FLAGSHIP 76687 Ramoji Kothapet,"Kothapet, Hyderabad",₹1338,₹2548,47% off, Private Entrance  Reception  Free Wifi  + 13 more,4.4 (2722 Ratings)·Very Good,Hyderabad
106,SPOT ON 75242 West Inn Lodge,"Near Sri Mahadev Hanuman Mandir, Abids, Hyderabad",₹778,₹1482,47% off, TV  AC  Reception  + 8 more,,Hyderabad
107,SPOT ON 74055 Panchavati Residency Hotel,"Near Metro Pillar no.954, Mallanna Temple, Beside Chandana Scan Center, Rezimental Bazar, Sec'bad",₹833,₹1648,49% off, TV  Modern Wardrobe  Private Entrance  + 20 more,,Hyderabad
108,SPOT ON 40974 Sai Tirumala Residency,"Near Rathifile bus stop, Regimental Bazaar, Hyderabad",₹1414,₹2694,47% off, Reception  CCTV Cameras  Security  + 4 more,3.8 (241 Ratings)·Good,Hyderabad
109,SPOT ON 48871 AY Hotel,"Centrally Located, Near HDFC Bank ATM, Charminar, Hyderabad",₹907,₹1883,51% off, TV  Reception  Free Wifi  + 9 more,4.5 (242 Ratings)·Excellent,Hyderabad
110,OYO 13300 Hotel New Platinum,"Saleemnagar Colony, Malakpet, Hyderabad",₹1014,₹2887,64% off, Elevator  Free Wifi  Geyser  + 8 more,4.5 (132 Ratings)·Excellent,Hyderabad
111,OYO 76332 Hotel Shilpi Grand,"Indiaf, Hyderabad",₹1336,₹3308,59% off, Doctor on Call  Reception  Wakeup Service  + 9 more,,Hyderabad
112,CAPITAL O75502 Hotel Asian International ,"Near Nampally metro station, Mahesh Nagar, Hyderabad",₹1384,₹3324,58% off, Reception  Free Wifi  24/7 Checkin  + 16 more,3.9 (146 Ratings)·Good,Hyderabad
113,Capital O 46248 Marjan International,"Near ICICI Bank ATM, Chapel Rd, Hyderabad",₹845,₹3796,77% off, Parking Facility  Reception  Free Wifi  + 14 more,3.7 (238 Ratings)·Good,Hyderabad
114,SPOT ON 37214 Classic Lodge,"Near Board Of Intermediate Office, Hyderabad",₹718,₹1367,47% off, AC  Parking Facility  Elevator  + 8 more,4.4 (1778 Ratings)·Very Good,Hyderabad
115,OYO Flagship 469 Kachiguda Railway Station,"Near Kumar Theatre, Kachiguda, Hyderabad",₹1480,₹2818,47% off, Living Room  Reception  Washing Machine  + 109 more,3.7 (2582 Ratings)·Good,Hyderabad
116,CAPITAL O75039 Hotel Quality Inn ,"Near SBI , Mahesh Nagar, Hyderabad",₹3198,₹6091,47% off, Parking Facility  Reception  Free Wifi  + 19 more,3.9 (46 Ratings)·Good,Hyderabad
117,CAPITAL O 15141 Townvilla Guest House,"Near Indo US Super Speciality Hospital, Ameerpet, Hyderabad",₹1485,₹3505,57% off, Free Wifi  Geyser  Power backup  + 6 more,4.7 (2685 Ratings)·Excellent,Hyderabad
118,OYO 13550 Hotel Pushpa Grand,"Near Star Super Market, Chintalkunta, Hyderabad",₹1453,₹3016,51% off, Elevator  Parking Facility  Geyser  + 6 more,,Hyderabad
119,OYO 48723 Shanthaa Residency Lodge,"Near Vajrala complex, Kothapet., Hyderabad",₹1465,₹4046,63% off, Reception  24/7 Checkin  AC  + 12 more,3.7 (993 Ratings)·Good,Hyderabad
120,OYO Flagship 77048 Nishita Residency,"Andheri East, Mumbai",₹1393,₹2652,47% off, Reception  Ticket Tour Assistance  Free Wifi  + 16 more,3.7 (289 Ratings)·Good,Mumbai
121,Collection O 50232 ULIFE HOTEL,"Near marol metro station , Saki Vihar, Mumbai",₹1547,₹2947,47% off, Private Entrance  Reception  Power backup  + 24 more,4.3 (810 Ratings)·Very Good,Mumbai
122,OYO 76305 Hotel A S Suite,"Near Asalpha Metro station, Asalpha, Mumbai",₹1740,₹4317,59% off, Reception  Free Wifi  CCTV Cameras  + 4 more,,Mumbai
123,Capital O 71247 Jk Regency,"Near Pump House Subway, Andheri East, Mumbai",₹1699,₹3499,51% off, Private Entrance  Parking Facility  Reception  + 11 more,3.8 (482 Ratings)·Good,Mumbai
124,OYO 71946 Sairaj Palace,"Near International Airport, Chimatpada, Mumbai",₹1445,₹3326,56% off, Reception  Free Wifi  Daily Housekeeping  + 9 more,,Mumbai
125,OYO 77254 Hotel Planet,"Zone 3, Mumbai",₹1415,₹3558,60% off, Parking Facility  Reception  Free Wifi  + 13 more,,Mumbai
126,OYO 42741 Hotel Avenue Residency,"Near sakinaka, Asalpha, Mumbai",₹1930,₹6234,69% off, Private Entrance  Reception  Free Wifi  + 10 more,,Mumbai
127,OYO 19918 Hotel Mantra Residency,"Andheri East, Mumbai",₹1630,₹3119,47% off, Free Wifi  Card Payment  TV  + 12 more,3.6 (19 Ratings)·Good,Mumbai
128,Capital O 68855 Ace Residency ,"Military Road, Ashok Nagar Society, Mumbai",₹2073,₹3948,47% off, AC  AC  TV  + 1 more,3.5 (726 Ratings)·Good,Mumbai
129,OYO 26563 Safar Residency,"Near Sion Railway Station, LBS Marg, Mumbai",₹2302,₹4384,47% off, Private Entrance  Reception  Free Wifi  + 15 more,,Mumbai
130,OYO 10954 Hotel Golden Galaxy,"Near Vakola Police Station, Santacruz East, Mumbai",₹1876,₹4101,54% off, Free Wifi  Card Payment  AC  + 11 more,3.6 (147 Ratings)·Good,Mumbai
131,Capital O 12043 Hotel Konak,"Near Shughun Hospital, Marol, Mumbai",₹1250,₹3395,63% off, Elevator  Free Wifi  Geyser  + 7 more,4.3 (861 Ratings)·Very Good,Mumbai
132,Collection O 80640 Balaji Stays,"Marol, Mumbai",₹1473,₹2805,47% off, Private Entrance  Reception  Free Wifi  + 11 more,4.2 (22 Ratings)·Very Good,Mumbai
133,OYO 14056 Golden Arch,"Near Vakola Police station, Santa Cruz East, Mumbai",₹2068,₹3938,47% off, Free Wifi  Card Payment  TV  + 11 more,3.5 (447 Ratings)·Good,Mumbai
134,OYO 19156 Hotel Greenforest,"Near Axis Bank, Customs Colony, Mumbai",₹1663,₹3169,47% off, Parking Facility  Free Wifi  Card Payment  + 12 more,4.2 (812 Ratings)·Very Good,Mumbai
135,OYO 11015 Hotel Airside,"Near Corporation Bank, Gulab Estate, Mumbai",₹1516,₹2888,47% off, Free Wifi  Geyser  CCTV Cameras  + 5 more,3.7 (162 Ratings)·Good,Mumbai
136,OYO 9996 The Arton Suites by Raiden Hospitality,"Near Sakinaka Telephone Exchange, Gulab Estate, Mumbai",₹1814,₹3455,47% off, Parking Facility  Power backup  Card Payment  + 10 more,3.7 (58 Ratings)·Good,Mumbai
137,OYO Flagship 77192 Hotel Shangrila Nehru Road,"Vile Parle, Mumbai",₹1849,₹3522,47% off, Private Entrance  Reception  Bedside Table / Desk  + 29 more,3.9 (828 Ratings)·Good,Mumbai
138,OYO 76116 Hotel Sakinaka Inn,", Mumbai",₹1561,₹4002,60% off, Hair Dryer  Reception  Free Wifi  + 17 more,3.6 (278 Ratings)·Good,Mumbai
139,OYO 27942 Hotel Garden View,"Opp. M.V.M. School, Andheri (W), Mumbai",₹1624,₹3092,47% off, Reception  Free Wifi  Power backup  + 8 more,,Mumbai
